tweetID	tweetTime	tweetText	tweetLanguage	tweetCoordinates	tweetPlace	positive	negative	neutral	happiness	sadness	disgust	fear	surprise	anger	unsure	notes
1243821363485343750	2020-03-28 8:44:56	Tha war is on against the Corona Virus .We will win.We will not let this virus win .Stay at home , follow the rules ,help us to keep you all safe and alive .Help each other .Help the country & people.#CoronaLockdown #COVID19 #StayAtHomeAndStaySafe #CoronavirusPandemic	en			X						X				
1244384704297664513	2020-03-29 22:03:27	@CNT_NOmasAFP	und													UNUSABLE
1242016666642288640	2020-03-23 9:13:43	This is a list of our most popular pages in the United States. If you have any questions, please feel free to contact me. #coronavirus #FakeMassages olCollectorNashik ursurmayu PNSPNashikRural	mr					X								
1242434617384349696	2020-03-24 12:54:30	#TuesdayThoughts Pick up my latest book in the "Hang In There" Series entitled, "Hang in There Coronavirus Survivor!: Encouragement for Those in the Pandemic."   Read for free on... 	en	{'type': 'Point', 'coordinates': [-94.1959818, 31.8109496]}	Place(_api=<tweepy.api.API object at 0x000002DAD1A40C88>, id='7a15f6b26b4b752e', url='https://api.twitter.com/1.1/geo/id/7a15f6b26b4b752e.json', place_type='city', name='Center', full_name='Center, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002DAD1A40C88>, type='Polygon', coordinates=[[[-94.2073111, 31.766635], [-94.154063, 31.766635], [-94.154063, 31.825256], [-94.2073111, 31.825256]]]), attributes={})	X			X							
1237990291128422400	2020-03-12 6:34:20	I am so grumpy that my workplace's current covid19 plan (changing daily) would put me (and only like five other people out of 70ish) with a schedule that gives me more social interaction and stress than making no changes would. Here's hoping the plan changes again.	en				X							X		
1242919147635433472	2020-03-25 20:59:51	Test frontline NHS staff for COVID-19 as a priority. #CoronavirusOutbreak - Sign the Petition!  via @UKChange	en					X								
1240015690469453825	2020-03-17 20:42:33	MASISTS to get sick in favor of Cuba directly ....	es												X	
1238682334561308672	2020-03-14 4:24:16	Hella true	fr			X			X							
1242653743209996290	2020-03-25 3:25:14	@jairbolsonaro Mr President, you may not have realized how serious this is, covid19 doesn’t only contaminate the elderly, there are children with covid19 and people of all ages, it’s time to stop politics and be more human, the Lord is a big disappointment.	pt				X							X		
1239661988323700739	2020-03-16 21:17:04	While congress bats around a multi-billion dollar coronavirus relief bill, I'll rely on the superior care package I received from Altoona	en			X			X							
1241108034786656258	2020-03-20 21:03:08	Is Mitch's plan going to get you a check? Check here.	en					X								
1241012320337305601	2020-03-20 14:42:48	@theMartiMartin @JonSigge @thorborg	und													UNUSABLE
1240981294517010433	2020-03-20 12:39:31	Haha! Have you seen the toilet paper-shaped cakes Haydel's is making? Here's the story behind them from @dougmaccash.  #Coronavirus	en			X			X							
1242089086145486849	2020-03-23 14:01:29	meanwhile @MercedesBenz east london has a confirmed case but refuses to shut down	en				X							X		
1240843793449943041	2020-03-20 3:33:08	Stop COVID-19 within 3 weeks.	en					X								
1240368586813816835	2020-03-18 20:04:50	Close our  borders! No stupid cut off mark!	en				X							X		
1241385726836695045	2020-03-21 15:26:35	One of the biggest problems caused by the #HalkinIhtiyaclarinaKulakVerin # Covid_19 epidemic is recession: economic recession. #evdekal makrim agriculture, production, especially industry, and the service sector stop almost completely, and this leads to a further increase in the unemployment problem.	tr				X							X		
1244356460248739840	2020-03-29 20:11:13	The nuns of San Leandro make masks for the coronavirus #TDSCofrade	es			X			X							
1238791700291739648	2020-03-14 11:38:51	#COVID19 #confinement #coronapocalypse #coronavirus #Municipal2020 #ThisIsNotACommonFlu	fr				X					X				
1243208049936007169	2020-03-26 16:07:51	During this uncertain time where many families are adjusting to new schedules, here are three reminders to help keep kids safer around cars while they play. #StayAtHomeSafety #COVID19 #coronavirus	en			X						X				
1240176131158020097	2020-03-18 7:20:05	Global race for virus vaccine heats up as China seeks volunteers for trial	en					X								
1238730501726371841	2020-03-14 7:35:40	Trump, coronavirus and the politics of a pandemic	en					X								
1238607260143587328	2020-03-13 23:25:57	@TheDeepti It helps people feel they are in control.	en					X								
1242852264689242115	2020-03-25 16:34:05	RIVAS / Local Police receives donations from citizens, businesses and the Chinese community All donations received are made "available to the headquarters for use in collaborative interventions or assistance to people with coronavirus"	es			X			X							
1237794676612173825	2020-03-11 17:37:02	Coronavirus in my state	en				X			X						
1234522720978771970	2020-03-02 16:55:27	I'm at work and this lady came in coughing asking about corona virus defense..	en				X				X					
1241825910418006016	2020-03-22 20:35:43	#MaduroEsElVirus. @ La_patilla. @ PartidoPSUV. @ Morandavid. @ NTN24ve	und													UNUSABLE
1242663726739681280	2020-03-25 4:04:54	It speaks to those who follow and support him/them.	en					X								
1240971585080655873	2020-03-20 12:00:56	The Spanish stock market maintained at noon the gains of the beginning of the session with a rise of 4% that allowed it to approach the level of 6,700 points due to the advance of international markets and the recovery of the euro and oil #coronavirus	es			X			X							
1243455108148576256	2020-03-27 8:29:34	But that hangs over their heads ...	fr				X					X				
1240565027733745664	2020-03-19 9:05:25	@CCarrGOP @GOP	und													UNUSABLE
1243384472180948994	2020-03-27 3:48:53	Outrageous. Needs an immediate fix @SenJeffMerkley @RonWyden   Bonanza for Rich Real Estate Investors, Tucked Into Stimulus Package   Greed in the time of #COVID19	en				X							X		
1237616939947765760	2020-03-11 5:50:46	THIS SOUNDS LIKE A GREAT WAY TO MOVE THE CORONAVIRUS TO OTHER CITIES	en				X							X		
1237463997923942400	2020-03-10 19:43:02	Not ironically I have a fever and cough 1 fav if I have coronavirus	es				X					X				
1243550654636974087	2020-03-27 14:49:14	News Alert: UK Prime Minister tests positive for coronavirus  UK Prime Minister Boris Johnson has tested positive for coronavirus, the leader said on Friday.  On his Twitter account, Johnson said he had developed...	en				X					X				
1244861027541348353	2020-03-31 5:36:12	Kinda happy that even though we're not registered voters of Mactan, we were able to receive 5 kilograms of rice.   Serbisyong wala pili!   #DapatAll #EnhancedCommunityQuarantine #COVID19PH #COVID19	en		Place(_api=<tweepy.api.API object at 0x000002DAD1A40C88>, id='00de688c424ec036', url='https://api.twitter.com/1.1/geo/id/00de688c424ec036.json', place_type='city', name='Lapu-Lapu City', full_name='Lapu-Lapu City, Central Visayas', country_code='PH', country='Republic of the Philippines', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002DAD1A40C88>, type='Polygon', coordinates=[[[123.9086254, 10.2035208], [124.0725263, 10.2035208], [124.0725263, 10.3342405], [123.9086254, 10.3342405]]]), attributes={})	X			X							
